filename,true_label,cluster
1.jpg,-1,1
1000_jpg.rf.1c16148495900a466a53f121ec6af0a9.jpg,-1,0
1002_jpg.rf.57d3a8702704771f3315b19aac1aaae7.jpg,-1,0
1003_jpg.rf.9caed0c16ef6b6a9cc174256657810c1.jpg,-1,2
1004_jpg.rf.373053c1dd48b8a6bc7ac7f93d4702ac.jpg,-1,2
1005_jpg.rf.26a35018e228afa0f075d4a09fd8769b.jpg,-1,2
1008_jpg.rf.492d7251d486bdcdc078e388dad8d205.jpg,-1,0
100_jpg.rf.277787736bda26448d531e9285a5b086.jpg,-1,2
1010_jpg.rf.82ea169b57b773929009fa13b7aa704b.jpg,-1,0
1012_jpg.rf.453866333dd04def7d83896e33f77155.jpg,-1,0
1013_jpg.rf.05704b16d3d0f4dd9803edc53b723520.jpg,-1,0
1014_jpg.rf.e4d01976894e0d082ed45905b50c1243.jpg,-1,0
1015_jpg.rf.4f61b1e8e47b49b874b6280e7a630aa4.jpg,-1,0
1016_jpg.rf.1e728d7539e99ed821f48d5047e6307f.jpg,-1,0
1019_jpg.rf.9393e0f9e2ee3f85d07f486d4933d090.jpg,-1,2
1020_jpg.rf.ab4559fd5bc096251a1c17e1cec8721c.jpg,-1,2
1025_jpg.rf.8bf4d04963095fe03d3d5a0d0db75fc6.jpg,-1,0
1026_jpg.rf.d12e816a89aee042b5bb604deeaade74.jpg,-1,0
1027_jpg.rf.a3dbd9c542cf8dbbf02e0f669ee00e98.jpg,-1,0
1028_jpg.rf.9b892320a9c3bdf87b695852f93c3c44.jpg,-1,0
1029_jpg.rf.554be04f7e39890bc41d252f6e8a859d.jpg,-1,0
102_jpg.rf.e83b6770ae0daf212ac56cda9ff4518e.jpg,-1,2
1031_jpg.rf.44112dc6705a82ac209f36e6755ecc58.jpg,-1,0
1032_jpg.rf.ea3be0473c47174eb65897646fb4ab25.jpg,-1,0
1034_jpg.rf.332243c520ad5556581686595011a3f4.jpg,-1,0
1037_jpg.rf.ee71d2f5dbee7bd8a255de96528339ee.jpg,-1,0
1038_jpg.rf.462754f72017ae18e2c3390b4020a132.jpg,-1,0
1039_jpg.rf.8f088391146ef60db8adc7db22fdbbe6.jpg,-1,0
103_jpg.rf.545b7cac5ee5582ca96be24af6e900fe.jpg,-1,2
1040_jpg.rf.b2bfe431d0679644b669aabad81e0d8d.jpg,-1,0
1042_jpg.rf.85be139ed883f9011f648f105e9c298a.jpg,-1,0
1043_jpg.rf.21f0c0c9d68fa03d8e2b404ead1e90a7.jpg,-1,0
1044_jpg.rf.dd22d06a56561768d8b18e1201e8c2e7.jpg,-1,0
1046_jpg.rf.f00d24546cfc9932255113d4fcedd4a5.jpg,-1,0
1047_jpg.rf.1a506954262c89e9ca02543f77021fb3.jpg,-1,0
1049_jpg.rf.25b13d0d637cb68530fdb6737a2ceac3.jpg,-1,0
104_jpg.rf.d149386645d8976949dfef7b4b8fc425.jpg,-1,2
1050_jpg.rf.1cb3e5e621712f18f7669082cdc37794.jpg,-1,0
1053_jpg.rf.57389670cb625358e3a08142588776ff.jpg,-1,0
1054_jpg.rf.13cdb804ee7edb71f3a7e3b93d3b174e.jpg,-1,0
1055_jpg.rf.1c6ea51c3a42a39620f10e2e8577b8bb.jpg,-1,0
1059_jpg.rf.08316825e6adde658cb0dfa0970caca4.jpg,-1,0
105_jpg.rf.8cfad6d0c2ddbcc70a3565d7d086aec5.jpg,-1,2
1060_jpg.rf.d12b237ae08732bb65ba4e3d84a87f0d.jpg,-1,0
1062_jpg.rf.b708cc3fb824e426202f0da0064755b0.jpg,-1,0
