filename,true_label,true_class,cluster,predicted_label,predicted_class,correct
Te-glTr_0000.jpg,0,glioma,4,0,glioma,True
Te-glTr_0001.jpg,0,glioma,4,0,glioma,True
Te-glTr_0002.jpg,0,glioma,4,0,glioma,True
Te-glTr_0003.jpg,0,glioma,4,0,glioma,True
Te-glTr_0004.jpg,0,glioma,4,0,glioma,True
Te-glTr_0005.jpg,0,glioma,3,1,meningioma,False
Te-glTr_0006.jpg,0,glioma,4,0,glioma,True
Te-glTr_0007.jpg,0,glioma,4,0,glioma,True
Te-glTr_0008.jpg,0,glioma,4,0,glioma,True
Te-glTr_0009.jpg,0,glioma,4,0,glioma,True
Te-gl_0010.jpg,0,glioma,4,0,glioma,True
Te-gl_0011.jpg,0,glioma,4,0,glioma,True
Te-gl_0012.jpg,0,glioma,4,0,glioma,True
Te-gl_0013.jpg,0,glioma,4,0,glioma,True
Te-gl_0014.jpg,0,glioma,4,0,glioma,True
Te-gl_0015.jpg,0,glioma,4,0,glioma,True
Te-gl_0016.jpg,0,glioma,4,0,glioma,True
Te-gl_0017.jpg,0,glioma,4,0,glioma,True
Te-gl_0018.jpg,0,glioma,4,0,glioma,True
Te-gl_0019.jpg,0,glioma,4,0,glioma,True
Te-gl_0020.jpg,0,glioma,4,0,glioma,True
Te-gl_0021.jpg,0,glioma,4,0,glioma,True
Te-gl_0022.jpg,0,glioma,4,0,glioma,True
Te-gl_0023.jpg,0,glioma,4,0,glioma,True
Te-gl_0024.jpg,0,glioma,4,0,glioma,True
Te-gl_0025.jpg,0,glioma,4,0,glioma,True
Te-gl_0026.jpg,0,glioma,4,0,glioma,True
Te-gl_0027.jpg,0,glioma,4,0,glioma,True
Te-gl_0028.jpg,0,glioma,4,0,glioma,True
Te-gl_0029.jpg,0,glioma,4,0,glioma,True
Te-gl_0030.jpg,0,glioma,4,0,glioma,True
Te-gl_0031.jpg,0,glioma,4,0,glioma,True
Te-gl_0032.jpg,0,glioma,4,0,glioma,True
Te-gl_0033.jpg,0,glioma,4,0,glioma,True
Te-gl_0034.jpg,0,glioma,4,0,glioma,True
Te-gl_0035.jpg,0,glioma,4,0,glioma,True
Te-gl_0036.jpg,0,glioma,4,0,glioma,True
Te-gl_0037.jpg,0,glioma,0,2,pituitary,False
Te-gl_0038.jpg,0,glioma,0,2,pituitary,False
Te-gl_0039.jpg,0,glioma,4,0,glioma,True
Te-gl_0040.jpg,0,glioma,4,0,glioma,True
Te-gl_0041.jpg,0,glioma,4,0,glioma,True
Te-gl_0042.jpg,0,glioma,4,0,glioma,True
Te-gl_0043.jpg,0,glioma,3,1,meningioma,False
Te-gl_0044.jpg,0,glioma,4,0,glioma,True
Te-gl_0045.jpg,0,glioma,4,0,glioma,True
Te-gl_0046.jpg,0,glioma,4,0,glioma,True
Te-gl_0047.jpg,0,glioma,0,2,pituitary,False
Te-gl_0048.jpg,0,glioma,4,0,glioma,True
Te-gl_0049.jpg,0,glioma,4,0,glioma,True
Te-gl_0050.jpg,0,glioma,4,0,glioma,True
Te-gl_0051.jpg,0,glioma,4,0,glioma,True
Te-gl_0052.jpg,0,glioma,4,0,glioma,True
Te-gl_0053.jpg,0,glioma,4,0,glioma,True
Te-gl_0054.jpg,0,glioma,4,0,glioma,True
Te-gl_0055.jpg,0,glioma,4,0,glioma,True
Te-gl_0056.jpg,0,glioma,0,2,pituitary,False
Te-gl_0057.jpg,0,glioma,4,0,glioma,True
Te-gl_0058.jpg,0,glioma,0,2,pituitary,False
Te-gl_0059.jpg,0,glioma,0,2,pituitary,False
Te-gl_0060.jpg,0,glioma,4,0,glioma,True
Te-gl_0061.jpg,0,glioma,4,0,glioma,True
Te-gl_0062.jpg,0,glioma,4,0,glioma,True
Te-gl_0063.jpg,0,glioma,4,0,glioma,True
Te-gl_0064.jpg,0,glioma,0,2,pituitary,False
Te-gl_0065.jpg,0,glioma,4,0,glioma,True
Te-gl_0066.jpg,0,glioma,4,0,glioma,True
Te-gl_0067.jpg,0,glioma,0,2,pituitary,False
Te-gl_0068.jpg,0,glioma,4,0,glioma,True
Te-gl_0069.jpg,0,glioma,0,2,pituitary,False
Te-gl_0070.jpg,0,glioma,4,0,glioma,True
Te-gl_0071.jpg,0,glioma,4,0,glioma,True
Te-gl_0072.jpg,0,glioma,4,0,glioma,True
Te-gl_0073.jpg,0,glioma,4,0,glioma,True
Te-gl_0074.jpg,0,glioma,4,0,glioma,True
Te-gl_0075.jpg,0,glioma,4,0,glioma,True
Te-gl_0076.jpg,0,glioma,4,0,glioma,True
Te-gl_0077.jpg,0,glioma,4,0,glioma,True
Te-gl_0078.jpg,0,glioma,4,0,glioma,True
Te-gl_0079.jpg,0,glioma,4,0,glioma,True
